year,province,cohort_type,actual_intake,optimal_intake,aci_value,niv_per_unit,scenario
2019,QC,high_wage_worker,76705,0,0.4475,412526.93,aci_equal
2019,QC,in_canada_transition,0,0,0.5,237641.37,aci_equal
2019,QC,low_quality_student,12770,0,0.4475,-211205.93,aci_equal
2019,QC,low_wage_worker,24360,0,0.4475,-180555.42,aci_equal
2019,QC,refugee,7750,2034,0.4475,-439889.84,aci_equal
2019,SK,family_class,2440,0,0.4707,-133783.0,aci_equal
2019,SK,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,SK,high_quality_student,4755,0,0.4707,99711.36,aci_equal
2019,SK,high_wage_worker,6680,0,0.4707,412526.93,aci_equal
2019,SK,in_canada_transition,11430,0,0.4707,237641.37,aci_equal
2019,SK,low_quality_student,1650,0,0.4707,-211205.93,aci_equal
2019,SK,low_wage_worker,1015,0,0.4707,-180555.42,aci_equal
2019,SK,refugee,1230,2034,0.4707,-439889.84,aci_equal
2019,YT,family_class,75,0,,-133783.0,aci_equal
2019,YT,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,YT,high_quality_student,75,0,,99711.36,aci_equal
2019,YT,high_wage_worker,530,0,,412526.93,aci_equal
2019,YT,in_canada_transition,265,0,,237641.37,aci_equal
2019,YT,low_quality_student,15,0,,-211205.93,aci_equal
2019,YT,low_wage_worker,100,0,,-180555.42,aci_equal
2019,YT,refugee,5,2034,,-439889.84,aci_equal
2020,AB,family_class,7530,48975,0.4234,-133783.0,aci_equal
2020,AB,francophone_pr,0,1511,0.5,444285.46,aci_equal
2020,AB,high_quality_student,9220,203840,0.4234,99711.36,aci_equal
2020,AB,high_wage_worker,20285,281680,0.4234,412526.93,aci_equal
2020,AB,in_canada_transition,9660,65310,0.4234,237641.37,aci_equal
2020,AB,low_quality_student,4305,67885,0.4234,-211205.93,aci_equal
2020,AB,low_wage_worker,7305,89910,0.4234,-180555.42,aci_equal
2020,AB,refugee,3025,15559,0.4234,-439889.84,aci_equal
2020,BC,family_class,8015,0,0.3438,-133783.0,aci_equal
2020,BC,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,BC,high_quality_student,44450,0,0.3438,99711.36,aci_equal
2020,BC,high_wage_worker,50850,0,0.3438,412526.93,aci_equal
2020,BC,in_canada_transition,13925,0,0.3438,237641.37,aci_equal
2020,BC,low_quality_student,18175,0,0.3438,-211205.93,aci_equal
2020,BC,low_wage_worker,20845,0,0.3438,-180555.42,aci_equal
2020,BC,refugee,2040,1197,0.3438,-439889.84,aci_equal
2020,MB,family_class,1475,0,0.3755,-133783.0,aci_equal
2020,MB,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,MB,high_quality_student,7295,0,0.3755,99711.36,aci_equal
2020,MB,high_wage_worker,11325,0,0.3755,412526.93,aci_equal
2020,MB,in_canada_transition,6170,0,0.3755,237641.37,aci_equal
2020,MB,low_quality_student,1885,0,0.3755,-211205.93,aci_equal
2020,MB,low_wage_worker,965,0,0.3755,-180555.42,aci_equal
2020,MB,refugee,565,1197,0.3755,-439889.84,aci_equal
2020,NB,family_class,220,0,0.3514,-133783.0,aci_equal
2020,NB,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,NB,high_quality_student,1705,0,0.3514,99711.36,aci_equal
2020,NB,high_wage_worker,3110,0,0.3514,412526.93,aci_equal
2020,NB,in_canada_transition,2190,0,0.3514,237641.37,aci_equal
2020,NB,low_quality_student,630,0,0.3514,-211205.93,aci_equal
2020,NB,low_wage_worker,1645,0,0.3514,-180555.42,aci_equal
2020,NB,refugee,255,1197,0.3514,-439889.84,aci_equal
2020,NL,family_class,115,0,0.4022,-133783.0,aci_equal
2020,NL,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,NL,high_quality_student,1250,0,0.4022,99711.36,aci_equal
2020,NL,high_wage_worker,1265,0,0.4022,412526.93,aci_equal
2020,NL,in_canada_transition,565,0,0.4022,237641.37,aci_equal
2020,NL,low_quality_student,190,0,0.4022,-211205.93,aci_equal
2020,NL,low_wage_worker,415,0,0.4022,-180555.42,aci_equal
2020,NL,refugee,105,1197,0.4022,-439889.84,aci_equal
2020,NS,family_class,450,0,0.3144,-133783.0,aci_equal
2020,NS,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,NS,high_quality_student,3840,0,0.3144,99711.36,aci_equal
2020,NS,high_wage_worker,6205,0,0.3144,412526.93,aci_equal
2020,NS,in_canada_transition,2530,0,0.3144,237641.37,aci_equal
2020,NS,low_quality_student,1450,0,0.3144,-211205.93,aci_equal
2020,NS,low_wage_worker,2105,0,0.3144,-180555.42,aci_equal
2020,NS,refugee,325,1197,0.3144,-439889.84,aci_equal
2020,NT,family_class,20,0,,-133783.0,aci_equal
2020,NT,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,NT,high_quality_student,0,0,0.5,99711.36,aci_equal
2020,NT,high_wage_worker,50,0,,412526.93,aci_equal
2020,NT,in_canada_transition,45,0,,237641.37,aci_equal
2020,NT,low_quality_student,0,0,0.5,-211205.93,aci_equal
2020,NT,low_wage_worker,0,0,0.5,-180555.42,aci_equal
2020,NT,refugee,0,1197,0.5,-439889.84,aci_equal
2020,ON,family_class,22220,0,0.4054,-133783.0,aci_equal
2020,ON,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,ON,high_quality_student,97490,0,0.4054,99711.36,aci_equal
2020,ON,high_wage_worker,125575,0,0.4054,412526.93,aci_equal
2020,ON,in_canada_transition,23385,0,0.4054,237641.37,aci_equal
2020,ON,low_quality_student,29600,0,0.4054,-211205.93,aci_equal
2020,ON,low_wage_worker,31830,0,0.4054,-180555.42,aci_equal
2020,ON,refugee,17285,1197,0.4054,-439889.84,aci_equal
2020,PE,family_class,35,0,,-133783.0,aci_equal
2020,PE,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,PE,high_quality_student,760,0,,99711.36,aci_equal
2020,PE,high_wage_worker,1365,0,,412526.93,aci_equal
2020,PE,in_canada_transition,1140,0,,237641.37,aci_equal
2020,PE,low_quality_student,555,0,,-211205.93,aci_equal
2020,PE,low_wage_worker,1010,0,,-180555.42,aci_equal
2020,PE,refugee,45,1197,,-439889.84,aci_equal
2020,QC,family_class,7755,0,0.3992,-133783.0,aci_equal
2020,QC,francophone_pr,2790,116,0.3992,444285.46,aci_equal
2020,QC,high_quality_student,35110,0,0.3992,99711.36,aci_equal
2020,QC,high_wage_worker,55820,0,0.3992,412526.93,aci_equal
2020,QC,in_canada_transition,0,0,0.5,237641.37,aci_equal
2020,QC,low_quality_student,10040,0,0.3992,-211205.93,aci_equal
2020,QC,low_wage_worker,23155,0,0.3992,-180555.42,aci_equal
2020,QC,refugee,4670,1197,0.3992,-439889.84,aci_equal
2020,SK,family_class,1135,0,0.5167,-133783.0,aci_equal
2020,SK,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,SK,high_quality_student,2650,0,0.5167,99711.36,aci_equal
2020,SK,high_wage_worker,5375,0,0.5167,412526.93,aci_equal
2020,SK,in_canada_transition,5610,0,0.5167,237641.37,aci_equal
2020,SK,low_quality_student,1030,0,0.5167,-211205.93,aci_equal
2020,SK,low_wage_worker,570,0,0.5167,-180555.42,aci_equal
2020,SK,refugee,410,1197,0.5167,-439889.84,aci_equal
2020,YT,family_class,5,0,,-133783.0,aci_equal
2020,YT,francophone_pr,0,116,0.5,444285.46,aci_equal
2020,YT,high_quality_student,70,0,,99711.36,aci_equal
2020,YT,high_wage_worker,455,0,,412526.93,aci_equal
2020,YT,in_canada_transition,90,0,,237641.37,aci_equal
2020,YT,low_quality_student,25,0,,-211205.93,aci_equal
2020,YT,low_wage_worker,65,0,,-180555.42,aci_equal
2020,YT,refugee,0,1197,0.5,-439889.84,aci_equal
2021,AB,family_class,10920,81130,0.4849,-133783.0,aci_equal
2021,AB,francophone_pr,0,2158,0.5,444285.46,aci_equal
2021,AB,high_quality_student,18095,356800,0.4849,99711.36,aci_equal
2021,AB,high_wage_worker,23510,339320,0.4849,412526.93,aci_equal
2021,AB,in_canada_transition,18875,213720,0.4849,237641.37,aci_equal
2021,AB,low_quality_student,6325,102675,0.4849,-211205.93,aci_equal
2021,AB,low_wage_worker,9625,138305,0.4849,-180555.42,aci_equal
2021,AB,refugee,8090,38446,0.4849,-439889.84,aci_equal
2021,BC,family_class,14275,0,0.4169,-133783.0,aci_equal
2021,BC,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,BC,high_quality_student,67120,0,0.4169,99711.36,aci_equal
2021,BC,high_wage_worker,62425,0,0.4169,412526.93,aci_equal
2021,BC,in_canada_transition,46740,0,0.4169,237641.37,aci_equal
2021,BC,low_quality_student,30635,0,0.4169,-211205.93,aci_equal
2021,BC,low_wage_worker,30030,0,0.4169,-180555.42,aci_equal
2021,BC,refugee,5830,2746,0.4169,-439889.84,aci_equal
2021,MB,family_class,2330,0,0.4478,-133783.0,aci_equal
2021,MB,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,MB,high_quality_student,9915,0,0.4478,99711.36,aci_equal
2021,MB,high_wage_worker,11405,0,0.4478,412526.93,aci_equal
2021,MB,in_canada_transition,12610,0,0.4478,237641.37,aci_equal
2021,MB,low_quality_student,3430,0,0.4478,-211205.93,aci_equal
2021,MB,low_wage_worker,3220,0,0.4478,-180555.42,aci_equal
2021,MB,refugee,1400,2746,0.4478,-439889.84,aci_equal
2021,NB,family_class,365,0,0.3145,-133783.0,aci_equal
2021,NB,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,NB,high_quality_student,4390,0,0.3145,99711.36,aci_equal
2021,NB,high_wage_worker,4185,0,0.3145,412526.93,aci_equal
2021,NB,in_canada_transition,4465,0,0.3145,237641.37,aci_equal
2021,NB,low_quality_student,1675,0,0.3145,-211205.93,aci_equal
2021,NB,low_wage_worker,3225,0,0.3145,-180555.42,aci_equal
2021,NB,refugee,360,2746,0.3145,-439889.84,aci_equal
2021,NL,family_class,145,0,0.3723,-133783.0,aci_equal
2021,NL,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,NL,high_quality_student,2795,0,0.3723,99711.36,aci_equal
2021,NL,high_wage_worker,1645,0,0.3723,412526.93,aci_equal
2021,NL,in_canada_transition,1300,0,0.3723,237641.37,aci_equal
2021,NL,low_quality_student,575,0,0.3723,-211205.93,aci_equal
2021,NL,low_wage_worker,685,0,0.3723,-180555.42,aci_equal
2021,NL,refugee,510,2746,0.3723,-439889.84,aci_equal
2021,NS,family_class,695,0,0.3445,-133783.0,aci_equal
2021,NS,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,NS,high_quality_student,7940,0,0.3445,99711.36,aci_equal
2021,NS,high_wage_worker,7015,0,0.3445,412526.93,aci_equal
2021,NS,in_canada_transition,7540,0,0.3445,237641.37,aci_equal
2021,NS,low_quality_student,2290,0,0.3445,-211205.93,aci_equal
2021,NS,low_wage_worker,3355,0,0.3445,-180555.42,aci_equal
2021,NS,refugee,795,2746,0.3445,-439889.84,aci_equal
2021,NT,family_class,55,0,,-133783.0,aci_equal
2021,NT,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,NT,high_quality_student,0,0,0.5,99711.36,aci_equal
2021,NT,high_wage_worker,55,0,,412526.93,aci_equal
2021,NT,in_canada_transition,180,0,,237641.37,aci_equal
2021,NT,low_quality_student,0,0,0.5,-211205.93,aci_equal
2021,NT,low_wage_worker,10,0,,-180555.42,aci_equal
2021,NT,refugee,5,2746,,-439889.84,aci_equal
2021,NU,family_class,0,0,0.5,-133783.0,aci_equal
2021,NU,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,NU,high_quality_student,0,0,0.5,99711.36,aci_equal
2021,NU,high_wage_worker,0,0,0.5,412526.93,aci_equal
2021,NU,in_canada_transition,0,0,0.5,237641.37,aci_equal
2021,NU,low_quality_student,0,0,0.5,-211205.93,aci_equal
2021,NU,low_wage_worker,25,0,,-180555.42,aci_equal
2021,NU,refugee,0,2746,0.5,-439889.84,aci_equal
2021,ON,family_class,36680,0,0.3912,-133783.0,aci_equal
2021,ON,francophone_pr,0,154,0.5,444285.46,aci_equal
2021,ON,high_quality_student,186605,0,0.3912,99711.36,aci_equal
2021,ON,high_wage_worker,140275,0,0.3912,412526.93,aci_equal
2021,ON,in_canada_transition,111020,0,0.3912,237641.37,aci_equal
2021,ON,low_quality_student,42430,0,0.3912,-211205.93,aci_equal
